feature,importance
입회경과개월수_신용_last,6299.0
카드이용한도금액_mean_6m,5336.0
이용금액_오프라인_B0M_mean_6m,5320.4
증감율_이용금액_신용_전월_mean_6m,4419.6
증감율_이용금액_신용_전월_std_6m,4191.2
증감율_이용금액_신용_분기_last,4158.8
최종카드발급경과월_last,4110.4
CL이자율_할인전_std_6m,4102.2
카드이용한도금액_std_6m,4056.6
이용금액_오프라인_B0M_std_6m,4046.2
잔액_신판평균한도소진율_r6m_std_6m,4021.8
이용금액_신용합계_B0M_mean_6m,3941.6
CA이자율_할인전_std_6m,3904.0
증감율_이용건수_신용_분기_last,3694.6
CA한도금액_last,3615.6
카드이용한도금액_last,3553.8
증감율_이용건수_신용_전월_last,3486.6
변동률_잔액_B1M_last,3479.2
직장시도명_last,3391.8
증감율_이용금액_신용_전월_last,3370.0
이용건수_신용_B0M_std_6m,3364.4
이용건수_신용_B0M_mean_6m,3349.2
CA이자율_할인전_mean_6m,3320.0
CL이자율_할인전_mean_6m,3290.4
이용금액_일시불_B0M_std_6m,3139.2
혜택수혜율_R3M_std_6m,3071.0
총잔액_B0M_std_6m,2995.6
이용금액_R3M_신용_last,2953.4
CL이자율_할인전_last,2950.0
혜택수혜율_R3M_mean_6m,2945.0
CA이자율_할인전_last,2933.8
혜택수혜율_B0M_last,2895.2
잔액_신판ca최대한도소진율_r6m_last,2856.6
평잔_6M_last,2784.0
청구금액_B0_std_6m,2778.4
이용금액_일시불_R3M_last,2738.4
혜택수혜율_R3M_last,2688.2
이용금액_신용합계_B0M_std_6m,2685.4
이용금액_온라인_B0M_mean_6m,2601.6
총잔액_B0M_mean_6m,2489.8
잔액_할부_B0M_last,2487.8
잔액_신판평균한도소진율_r6m_mean_6m,2482.2
잔액_신판ca평균한도소진율_r6m_last,2387.8
월중평잔_일시불_B0M_std_6m,2345.6
청구금액_R3M_last,2252.2
잔액_신판최대한도소진율_r6m_last,2251.0
월중평잔_일시불_B0M_mean_6m,2169.4
이용금액_일시불_R6M_last,2113.8
잔액_신판평균한도소진율_r6m_last,2098.6
총잔액_B0M_last,2052.4
청구금액_R6M_last,2049.0
이용금액_온라인_B0M_std_6m,2025.6
이용건수_신판_B0M_mean_6m,1998.8
혜택수혜금액_R3M_last,1908.2
RP금액_B0M_mean_6m,1890.4
잔액_일시불_B0M_last,1783.6
청구금액_B0_mean_6m,1774.4
RP금액_B0M_std_6m,1772.8
월중평잔_일시불_B0M_last,1694.8
대표결제일_last,1561.8
최초한도금액_last,1504.8
상향가능한도금액_last,1492.8
혜택수혜금액_last,1487.0
연속유실적개월수_기본_24M_카드_last,1476.4
이용건수_신판_B0M_std_6m,1455.0
이용금액_할부_B0M_std_6m,1441.2
RP건수_B0M_mean_6m,1374.6
이용금액_할부_R6M_last,1290.6
채널활동성_합산_last,1256.6
할인금액_B0M_std_6m,1253.6
할인금액_B0M_mean_6m,1164.8
방문일수_앱_R6M_last,1141.8
컨택건수_이용유도_LMS_R6M_last,1098.4
이용금액_할부_R3M_last,1046.2
할인금액_R3M_last,1039.4
당사멤버쉽_방문횟수_R6M_last,1006.2
이용금액_일시불_B0M_mean_6m,908.6
가입통신회사코드_last,851.4
상담건수_R6M_last,836.8
Life_Stage_last,829.6
이용후경과월_신판_last,822.6
마일_잔여포인트_B0M_last,816.4
_2순위신용체크구분_last,762.8
OS구분코드_last,751.8
평잔_카드론_6M_last,714.8
LMS컨택합산_B0M_std_6m,699.6
이용카드수_신용_last,681.4
이용후경과월_신용_last,665.0
RP건수_B0M_std_6m,663.4
이용금액_CA_B0M_std_6m,645.6
연체건수_R6M_last,636.6
포인트_마일리지_건별_B0M_last,635.4
강제한도감액횟수_R12M_last,630.2
홈페이지_선결제건수_R6M_last,626.8
RV약정청구율_last,625.8
이용금액_CA_R3M_last,601.8
포인트_마일리지_건별_B0M_mean_6m,578.4
포인트_마일리지_건별_B0M_std_6m,553.2
_2순위신용체크구분_결측,537.8
소지카드수_유효_신용_last,527.2
불만제기후경과월_R12M_last,523.8
홈페이지_금융건수_R6M_last,522.8
탈회횟수_누적_last,515.8
LMS컨택합산_B0M_mean_6m,513.2
소지카드수_이용가능_신용_last,494.8
컨택건수_카드론_TM_R6M_last,480.8
선결제건수_R6M_last,476.4
이용금액_CA_R6M_last,466.6
연속무실적개월수_기본_24M_카드_last,464.8
한도증액횟수_R12M_last,457.4
잔액_카드론_B0M_last,454.4
잔액_현금서비스_B0M_last,448.0
연령_last,441.0
이용후경과월_CA_last,437.4
마케팅동의여부_last,422.0
TM컨택합산_B0M_std_6m,405.6
할인건수_R3M_last,388.8
인입후경과월_ARS_last,387.6
남녀구분코드_last,377.8
이용후경과월_일시불_last,368.4
상향가능CA한도금액_last,366.6
인입후경과월_IB_R6M_last,366.4
이용금액_할부_B0M_mean_6m,351.0
인입일수_ARS_R6M_last,348.4
RV최소결제비율_last,325.2
가입통신회사코드_결측,321.6
방문월수_앱_R6M_last,314.4
이용없음_할부,313.0
RV_평균잔액_R6M_last,309.2
이용거절여부_카드론_ever,305.0
방문횟수_앱_R6M_last,300.8
방문월수_PC_R6M_last,295.4
방문일수_PC_R6M_last,285.6
이용메뉴건수_IB_R6M_last,272.8
TM컨택합산_B0M_mean_6m,248.2
_1순위신용체크구분_last,246.4
인입횟수_IB_R6M_last,245.4
RV_최대잔액_R6M_last,237.8
방문후경과월_PC_R6M_last,212.2
방문후경과월_앱_R6M_last,204.8
컨택건수_채권_R6M_last,193.0
캠페인접촉건수_R12M_last,186.6
연체건수_R3M_last,184.6
잔액_리볼빙일시불이월_B0M_last,181.2
컨택건수_이용유도_TM_R6M_last,180.6
이용금액_CA_B0M_mean_6m,172.6
캠페인접촉일수_R12M_last,160.8
직장시도명_결측,141.8
연체잔액_B0M_std_6m,129.0
연체잔액_B0M_mean_6m,110.6
회원여부_연체_ever,110.0
방문월수_모바일웹_R6M_last,104.4
컨택건수_카드론_LMS_R6M_last,93.6
이용개월수_신용_R6M_last,77.2
이용없음_신판,74.8
방문후경과월_모바일웹_R6M_last,58.0
방문횟수_PC_R6M_last,57.4
인입횟수_ARS_R6M_last,28.6
이용없음_기본,23.4
이용금액_카드론_B0M_mean_6m,21.8
연체잔액_B0M_last,13.2
포인트_잔여포인트_B0M_last,13.0
방문횟수_모바일웹_R6M_last,12.4
방문일수_모바일웹_R6M_last,7.6
이용금액_카드론_B0M_std_6m,5.2
컨택건수_리볼빙_LMS_R6M_last,5.0
자발한도감액횟수_R12M_last,2.2
연체여부_ever,0.6
시장단기연체여부_R3M_last,0.0
시장단기연체여부_R6M_last,0.0
대표결제방법코드_last,0.0
컨택건수_리볼빙_TM_R6M_last,0.0
컨택건수_FDS_R6M_last,0.0
당사PAY_방문횟수_R6M_last,0.0
불만제기건수_R12M_last,0.0
